DATAFLOW,MEASURE,INDEX,SECTOR,INDUSTRY,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,BASE_PERIOD,OBS_STATUS,OBS_COMMENT
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2001-Q1,3.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2001-Q2,3.8,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2001-Q3,3.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2001-Q4,3.3,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2002-Q1,3,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2002-Q2,3.1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2002-Q3,3,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2002-Q4,3.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2003-Q1,3.8,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2003-Q2,3.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2003-Q3,3.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2003-Q4,3.8,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2004-Q1,3.7,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2004-Q2,3.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2004-Q3,3.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2004-Q4,3.5,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2005-Q1,3.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2005-Q2,4.2,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2005-Q3,4.2,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2005-Q4,3.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2006-Q1,4.1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2006-Q2,4.1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2006-Q3,4,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2006-Q4,4.2,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2007-Q1,3.7,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2007-Q2,3.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2007-Q3,4.2,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2007-Q4,4.5,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2008-Q1,4.8,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2008-Q2,4.5,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2008-Q3,4.3,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2008-Q4,4.2,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2009-Q1,3.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2009-Q2,3.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2009-Q3,3.3,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2009-Q4,3.1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2010-Q1,3.1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2010-Q2,3.1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2010-Q3,3.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2010-Q4,3.9,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2011-Q1,4.1,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2011-Q2,3.7,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2011-Q3,3.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2011-Q4,3.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2012-Q1,3.5,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2012-Q2,3.7,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2012-Q3,3.3,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2012-Q4,3.2,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2013-Q1,2.8,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2013-Q2,2.7,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2013-Q3,2.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2013-Q4,2.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2014-Q1,2.5,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2014-Q2,2.5,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2014-Q3,2.8,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2014-Q4,2.7,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2015-Q1,2.5,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2015-Q2,2.6,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2015-Q3,2.3,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2015-Q4,2.2,,,,
ABS:WPI(1.2.0),3,THRPIB,7,TOT,10,AUS,Q,2016-Q1,2.5,,,,
