DATAFLOW,MEASURE,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2003-Q4,320,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2004-Q1,305,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2004-Q2,307.5,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2004-Q3,302,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2004-Q4,321,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2005-Q1,310,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2005-Q2,320,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2005-Q3,320,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2005-Q4,332,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2006-Q1,330,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2006-Q2,345,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2006-Q3,346,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2006-Q4,360,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2007-Q1,345,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2007-Q2,362,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2007-Q3,370,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2007-Q4,410,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2008-Q1,385,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2008-Q2,400,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2008-Q3,385,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2008-Q4,385,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2009-Q1,375,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2009-Q2,400,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2009-Q3,422,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2009-Q4,477.5,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2010-Q1,468,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2010-Q2,500,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2010-Q3,488.3,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2010-Q4,520,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2011-Q1,485,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2011-Q2,502.5,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2011-Q3,487,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2011-Q4,495,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2012-Q1,478,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2012-Q2,485,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2012-Q3,480,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2012-Q4,508,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2013-Q1,486,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2013-Q2,500,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2013-Q3,520,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2013-Q4,561,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2014-Q1,504,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2014-Q2,528.9,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2014-Q3,505,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2014-Q4,552.5,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2015-Q1,525,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2015-Q2,561,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2015-Q3,580,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2015-Q4,612.3,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2016-Q1,568,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2016-Q2,610,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2016-Q3,605,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2016-Q4,675,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2017-Q1,657.5,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2017-Q2,720,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2017-Q3,692,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2017-Q4,750,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2018-Q1,731,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2018-Q2,750,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2018-Q3,720,,,,
ABS:RES_DWELL(1.0.0),3,2GMEL,Q,2018-Q4,735,,,,
